Member,MaxAge,MinAge,MidAge,TrionychidMass,LogTrionychid,LogTrionychidInterpolated,PelomedusidMass,LogPelomedusid,AquaticMass,LogAquatic_Delta,TestudinidMass,LogTestudinid,LogTestudinidInterpolated,EuthecodonMass,EuthecodonLength,LogEuthecodon,CrocodylusMass,CrocodylusInterpolated,LogCrocodylus,LogCrocodylusInterpolated,CrocodylusLength,MecistopsMass,LogMecistops,LogMecistops_Interpolated,MecistopsLength,ReptileSampling,TurtleSampling,CrocSampling,SquamateSampling,VaranusMass,LogVaranus,PythonMass_Interpolated,PythonMass,LogPython,LogPythonInterpolated,OverallHerbivoreDeltaC13,OverallHerbivoreDeltaO18,AAHbovidPercent,RedunciniPercent,ProportionBovidae,ProportionSuidae,ProportionCercopithicidae,ProportionHominidae,ProportionGrasslandIndicator,LakeLevel,LevinDeltaC13,LevinDeltaO18,Hippos_protkaru,LogHippos_protkaru,Hippos_aethi,LogHippos_aethi,LogHippos_aethiInterpolated,Hippopotamus,LogHippopotamus,LogHippopotamusInterpolated,LLAge,NutzLakeLevel,LevinAge,Levind18O,LevindC13,Aepycerotini,Alcelaphini,Antilopini,Bovini,Neotragini,Ovibovini,Reduncini,Tragelaphini,LogTragelaphini,Bovidae,LogBovidae_Delta,Cercopithecidae,Equidae,LogEquidae,PasseySoilTemp,PasseyMAT,HFprecip,HeinzelinEnv,HeinzelinMaxLake
K,1.526,1.39,-1.4579,,,,,,,,,,,1512.5,611.4,3.179695383,339.6,339.6,2.530967682,2.530967682,381.1,,,2.722259808,,13,1,12,2,5.1,0.707570176,15.50496427,,,1.122159555,-2.283333333,0.075,33.3,52.9,0.49726776,0.327868852,0.098360656,0.06557377,0.196721311,7.97,-6.584744596,-1.766666667,2494.365118,3.396960025,716.7320303,2.855356813,2.855356813,,,3.528751557,-2.336445647,4.14,-2.46,-5.2,-8,,449.3,,,,,,233.4,2.368100852,449.3,2.652536419,,,,,,,0,0
L,1.383,1.094,-1.2384,,,,6.83,,6.83,0.834420704,,,,2303.1,756.8,3.362312795,453.6,453.6,2.656673046,2.656673046,422.7,863.2,2.936111432,2.936111432,532.3,97,13,66,15,,,24.08,24.08,1.381656483,1.381656483,-0.847115385,1.926923077,19.4,67.7,0.644230769,0.240384615,0.048076923,0.067307692,0.134615385,,,-0.8,2512.299656,3.400071439,687.5063519,2.837276715,2.837276715,3164.697266,3.500332172,3.500332172,-2.316508796,5.76,-2.37,-5.2,-8.9,70.7,,,,,,79.5,,,79.5,1.900367129,32.6,,,,,,1.375,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.296571944,7.69,-2.37,-5.1,-8.7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.27458277,5.79,-2.35,-5.5,-8.6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.253473162,5.05,-2.35,-4.7,-7.7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.188092016,7.17,-2.35,-3.5,-8.4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.130626973,9.38,-2.33,-4.2,-8.2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.085182679,6.9,-2.31,-3.2,-8.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.02097429,11.4,-2.31,-3.2,-8.3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.894609833,7.62,-2.3,-4.4,-7.7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.79345963,3.72,-2.24,-4.4,-10.2,,,,,,,,,,,,,,,,,,,
